"","post_username","post_ID","post_comment","message_ID","sentiment","DatetimeSF","DatetimeSG","DateSG","Hour","Dayofweek","wordcount","mean","vNegTerms","negTerms","posTerms","vPosTerms"
"45","Simps Chin","1.02e+16","wow... Grab romper.. nice sia....","878175542334431_878218945663424","positive",2017-08-25 11:17:27,2017-08-26 03:17:27,"2017-8-26",3,6,5,3.5,0,0,1,1
"46","Shireen Moosa","1.48e+15","Thats very kind of u guys..","878175542334431_878180229000629","positive",2017-08-25 09:48:21,2017-08-26 01:48:21,"2017-8-26",1,6,6,2,0,0,1,0
"47","Joyce Cheong","1.02e+16","Side question Grab, are ERP charges included in the fare as shown on the Grab phone screen?","878098765675442_878288628989789","neutral",2017-08-25 14:22:48,2017-08-26 06:22:48,"2017-8-26",6,6,17,0,0,0,0,0
"48","Tan Josephine","2.05e+15","Hi, is booking fee applied or just metered fare?","878098765675442_879148055570513","neutral",2017-08-27 05:57:33,2017-08-27 21:57:33,"2017-8-27",21,0,9,0,0,0,0,0
"49","Eigen Lee","1.02e+16","I have tried. Forever cannot get one :(","878098765675442_878609872290998","negative",2017-08-26 03:26:04,2017-08-26 19:26:04,"2017-8-26",19,6,8,0,0,0,0,0
"50","SHshaiiniiee SH","1.86e+15","Before you set up any more new thingy app on your existing App please do settle the matter in your current App. JustGrab, Grabhitch & GrabShare. It is all about the hidden charges.  It is much more better that any charges incure during the journey be directly charge from your App rather than driver need to key in. This is also give truat to your passengers and reduce unnecessary complaints towards your drivers.","878098765675442_878189658999686","negative",2017-08-25 09:59:53,2017-08-26 01:59:53,"2017-8-26",1,6,73,0.8,0,0,3,0
"51","Tan Josephine","2.05e+15","Booking fees applied? Or just flag down metered fare?","878098765675442_879147928903859","neutral",2017-08-27 05:57:03,2017-08-27 21:57:03,"2017-8-27",21,0,9,0,0,0,0,0
"52","Ayleen Lim Pei Fang","1.02e+16","Wilber Ng","878098765675442_878233378995314","neutral",2017-08-25 11:54:50,2017-08-26 03:54:50,"2017-8-26",3,6,2,0,0,0,0,0
"53","Snehamayee Panda","1.87e+15","Ansuman Sahoo","878098765675442_878704165614902","neutral",2017-08-26 08:35:37,2017-08-27 00:35:37,"2017-8-27",0,0,2,0,0,0,0,0
"54","Grab","2.3e+14","Hi Avril, we thank you for your patience as we are currently checking with our IT team and will be updating you as soon as we can. Thanks!","877429819075670_879188078899844","positive",2017-08-27 08:03:37,2017-08-28 00:03:37,"2017-8-28",0,1,28,2,0,0,2,0
"55","SH Sham","1.78e+15","Dear Grab, Let say if we take Just Grab. 1 destination. Then we add another after that through your driver. The driver said google map shows it is 5.4km is it we pay $5 or $10?","877429819075670_877493665735952","neutral",2017-08-24 05:55:27,2017-08-24 21:55:27,"2017-8-24",21,4,36,1,0,0,1,0
"56","Adam Ng","1.02e+16","Took grabshare today, wondering if Hougang and Mountbatten should be paired up? Don't see the logic!","877429819075670_879359295549389","neutral",2017-08-27 15:23:46,2017-08-28 07:23:46,"2017-8-28",7,1,16,0,0,0,0,0
"57","HM Ng","1.02e+16","Each time grab gives rebate, I noticed fares for just grab and grab car are higher. ","877429819075670_878645408954111","neutral",2017-08-26 05:22:49,2017-08-26 21:22:49,"2017-8-26",21,6,17,0,0,0,0,0
"58","Calis Cheah","1.02e+16","I entered the code when booking my grabshare ride today but the whole fare was deducted from my account. Your notification for GrabHitch only came after I cancelled the booking too","877429819075670_878108475674471","neutral",2017-08-25 06:34:32,2017-08-25 22:34:32,"2017-8-25",22,5,31,-1,0,1,0,0
"59","Jasmine Chio","1.02e+16","Hello, I'm unable to use the SAVE5 promo code despite receiving the notification too. Have PMed you. Please assist.","877429819075670_879578755527443","neutral",2017-08-28 01:03:00,2017-08-28 17:03:00,"2017-8-28",17,1,19,1.5,0,0,2,0
"60","Pamela Squeezeyourteddy","1.02e+16","Hi Grab. I was given $5 off with ""SAVE5"", but why can't I use it? Is there anything wrong?","877429819075670_879567062195279","neutral",2017-08-28 00:31:57,2017-08-28 16:31:57,"2017-8-28",16,1,19,-2,0,1,1,0
"61","Tang Yongsheng","1.79e+15","You are sending me emails and messages on promo codes but whenever I apply, there are always no drivers. Pretty ridiculous","877429819075670_879553935529925","negative",2017-08-27 23:47:32,2017-08-28 15:47:32,"2017-8-28",15,1,21,-1,0,2,1,0
"62","Qintao Xu","1.49e+15","why grab can't use balance credit to pay? I still have $3 balance in my account, but i cant use it just due to minimim tripcharge $4. How bad your system design. It is not user friendly. Why cant use balance first and the rest deduct from my credit card?","877429819075670_879561735529145","neutral",2017-08-28 00:12:51,2017-08-28 16:12:51,"2017-8-28",16,1,50,-0.333333333333333,0,1,1,0
"63","Karen Teng","1.02e+16","Grab, is there promo code for next week? I mean other than this.","877429819075670_878559745629344","neutral",2017-08-26 00:54:20,2017-08-26 16:54:20,"2017-8-26",16,6,13,0,0,0,0,0
"64","Yueqi Zhang","1.02e+16","I was wondering why different people have different promotion codes during the same period of time? E.g some people have promo code for $5 discount while others with promo code for $4 discount.","877429819075670_880402925445026","neutral",2017-08-29 15:24:41,2017-08-30 07:24:41,"2017-8-30",7,3,33,0,0,0,0,0
"65","Cheang Yen Kenn","1.63e+15","I am unable to utilize the SAVE5 promo, messaged you have but there is no response","877429819075670_879630202188965","neutral",2017-08-28 03:04:47,2017-08-28 19:04:47,"2017-8-28",19,1,16,2,0,1,1,0
"66","Liu Chen","3.59e+14","I hope there will be other competitors in Singapore market. Price discrimination makes me feel so uncomfortable","877429819075670_879555848863067","neutral",2017-08-27 23:55:20,2017-08-28 15:55:20,"2017-8-28",15,1,17,0,0,1,1,0
"67","Yak Yong Long","1.02e+16","Hi grab yesterday I get 5$off using promo code saves today it become 4$off promo code 4off SERIOUSLY?","877429819075670_879555502196435","neutral",2017-08-27 23:53:25,2017-08-28 15:53:25,"2017-8-28",15,1,18,0,0,0,0,0
"68","Shervin Cheng","1.02e+16","SAVE5 promo code unable to use despite ""selected user"". Received email on being ""selected"" for SAVE5. Called call centre gives me excuses to email support.sg, texted in fb messenger no responds, emailed on the issue, god knows when responds will come back. Very disappointing as this happened many times. ","877429819075670_879550952196890","neutral",2017-08-27 23:35:28,2017-08-28 15:35:28,"2017-8-28",15,1,50,1,0,2,3,0
"69","Sharon K","1.02e+16","Hi grab I've sent you 2 PM regarding a double charge on my card during top up. Please respond","877429819075670_878065102345475","neutral",2017-08-25 04:06:36,2017-08-25 20:06:36,"2017-8-25",20,5,19,1.5,0,0,2,0
"70","Kai Lin","1.02e+16","Jus ended my unpleasant ride and then found out lso my promo code was not applied... grab u are making me very disappointed with your service.....","877429819075670_877733172378668","negative",2017-08-24 13:30:25,2017-08-25 05:30:25,"2017-8-25",5,5,26,-2,0,1,0,0
"71","Ken Teng","2.46e+15","Hi why ur hitch prom when use it will login me off wan. Even my fren book also the same. Can u tell me why","877429819075670_877602099058442","neutral",2017-08-24 08:43:16,2017-08-25 00:43:16,"2017-8-25",0,5,25,0,0,0,0,0
"72","Stephen Lim","1.02e+16","My payment mode was changed to Cash without me changing (is this a bug? As it happened to my friend before too)! I only knew when the driver stopped me from leaving and asked me to pay up. I am supposed to have the $5 discount as shown on my Notification screenshot below. And when I wrote to your CS, she replied that it was because I didn't key in any promo code. I tried telling her that this promo doesn't req any promo code, but I don't think she gets it. Can somebody from Grab who understands this promo advise me?","877429819075670_880438665441452","neutral",2017-08-29 16:50:02,2017-08-30 08:50:02,"2017-8-30",8,3,102,-0.5,0,1,0,0
"73","June Serav","1.02e+16","Why I didnt receive any promocodes for next week","877429819075670_879327032219282","neutral",2017-08-27 14:12:32,2017-08-28 06:12:32,"2017-8-28",6,1,9,0,0,0,0,0
"74","Geckting Ng Ivy","1.02e+16","Hi Grab, Pmed you for more information as the promotion is not clear","877429819075670_879764998842152","neutral",2017-08-28 09:48:44,2017-08-29 01:48:44,"2017-8-29",1,2,13,1,0,0,1,0
"75","Maya Mayumi","1.66e+15","hi grab no more promotion on 28 onwards izzit for top up or opt thanks","877429819075670_878637205621598","neutral",2017-08-26 04:48:17,2017-08-26 20:48:17,"2017-8-26",20,6,15,2,0,1,2,0
"76","LiJuan Khng","1.02e+16","Pmed you regarding the SAVE5 promo code. Tks!","877429819075670_879679548850697","neutral",2017-08-28 04:52:07,2017-08-28 20:52:07,"2017-8-28",20,1,8,2,0,0,1,0
"77","Gu Guu","1.86e+15","Hi Grab would like to check here..regarding refund the rewards point 4500 from grab durian.. gold and platinum member Thursday rewards.. My durian was missed for delivery and delivery guy contact me and said.. points will refund in 1 week time.. as per the letter too.. I message through messenger got no reply yet.","875855615899757_876390732512912","neutral",2017-08-22 05:06:52,2017-08-22 21:06:52,"2017-8-22",21,2,54,0.5,0,2,2,0
"78","Benjamin Chin","1.02e+16","when are you guys launching the equivalent of ubereats GRABabite?  :) :) :)","875855615899757_876360659182586","positive",2017-08-22 03:37:13,2017-08-22 19:37:13,"2017-8-22",19,2,14,0,0,0,0,0
"79","Oei Aisoen","1.02e+16","Worse ever The driver charge me $3 for waiting say more than 5min  Is the 1st time i being charge extra","875855615899757_876514245833894","neutral",2017-08-22 11:10:22,2017-08-23 03:10:22,"2017-8-23",3,3,21,-3,0,1,0,0
"80","Steve Tan","1.02e+16","Is grab down right now? Grab hitch keep showing errors","874016759416976_875962965889022","neutral",2017-08-21 10:36:18,2017-08-22 02:36:18,"2017-8-22",2,2,10,-2,0,1,0,0
"81","Jos Slang","1.02e+16","Grab may i knw this hitchfootball promotion, do we need to submit the form everytime we completed 2 rides each day? Or we submit only once to qualify for the grand draw?","874016759416976_878704148948237","neutral",2017-08-26 08:35:34,2017-08-27 00:35:34,"2017-8-27",0,0,32,3,0,0,1,0
"82","Meisan Kee","1.02e+16","Hi, your app says my promo code is 'fully redeemed or invalid' but there was no mention at all about any limit? It's only Monday","874016759416976_876084205876898","neutral",2017-08-21 15:23:25,2017-08-22 07:23:25,"2017-8-22",7,2,25,2,0,1,1,0
"83","Sok Peng Melody","1.02e+16","Grabhitch server down. Can't see scheduled rides and use promo code","874016759416976_876027285882590","neutral",2017-08-21 12:52:39,2017-08-22 04:52:39,"2017-8-22",4,2,11,0,0,0,0,0
"84","Maithili Misty","1.02e+16","Give Grabhitch promo.   Bring down server with no compensation given for inconveniencing customer.  People are forced to try book normal Grab.  Guess what?  ALL OTHER GRAB RIDES SURGING AT LEAST 2X.  Well played Grab. The most unscrupulous way to do business. All other transport companies have never stooped this low. DISGUSTING!","874016759416976_876073159211336","negative",2017-08-21 14:44:43,2017-08-22 06:44:43,"2017-8-22",6,2,51,-2,0,3,0,0
"85","Rishab Sharma","1.02e+16","Hi, I can't apply GH4 promo code but I received the notification","874016759416976_876022265883092","neutral",2017-08-21 12:40:34,2017-08-22 04:40:34,"2017-8-22",4,2,12,0,0,0,0,0
"86","Zhi Li Chua","1.4e+15","Sorry I was so angry with the service of grab, I have replied to my message on Facebook messenger but no one seems to reply me","874016759416976_875964562555529","negative",2017-08-21 10:41:08,2017-08-22 02:41:08,"2017-8-22",2,2,26,-2,0,3,0,0
"87","Indarjit Kaur Kaur","3.47e+14","Yes me too i also recieved the notification but they said invalid code","874016759416976_876394295845889","neutral",2017-08-22 05:12:31,2017-08-22 21:12:31,"2017-8-22",21,2,13,1,0,0,1,0
"88","Nor Hazirah Ishak","1.5e+15","i hitch daily to work. dont be like smrt please. I've been hitching for the last 3 mths!","874016759416976_876074849211167","neutral",2017-08-21 14:50:39,2017-08-22 06:50:39,"2017-8-22",6,2,18,0.5,0,0,1,0
"89","Leonard Lim","1.02e+16","You need to get the hitch up grab. i think there are people trying to complete their two tripd a day","874016759416976_876034329215219","neutral",2017-08-21 13:10:00,2017-08-22 05:10:00,"2017-8-22",5,2,21,0,0,0,0,0
"90","Mark Z C Koh","8.69e+14","Grabhitch server down. Unable to check booking.  Recently it's been down frequently. Mayb you should compensate both drivers and riders for a long period","874016759416976_876031855882133","neutral",2017-08-21 13:02:31,2017-08-22 05:02:31,"2017-8-22",5,2,24,0,0,0,0,0
"91","Aeson Chua","1.86e+15","Disappointing leh grab. Service down should announce, not leave everyone guessing","874016759416976_876029782549007","negative",2017-08-21 12:57:32,2017-08-22 04:57:32,"2017-8-22",4,2,11,-1.5,0,2,0,0
"92","Ken Teng","2.46e+15","I dun know why now getting hard to get hitch driver when grab still wan people take hitch ride. Lol","874016759416976_875917675893551","positive",2017-08-21 09:23:59,2017-08-22 01:23:59,"2017-8-22",1,2,20,1,0,1,1,0
"93","Liz Herbshew","5.09e+14","Theres no hitch drivers in my place at all.. but loads for grabcar  :)","874016759416976_875705629248089","positive",2017-08-20 23:22:01,2017-08-21 15:22:01,"2017-8-21",15,1,15,0,0,1,0,0
"94","Melvin Emmanuel Chan","1.02e+16","0","874016759416976_876003365884982","neutral",2017-08-21 12:06:12,2017-08-22 04:06:12,"2017-8-22",4,2,0,0,0,0,0,0
"95","Denise Soh","1.02e+16","Hitch down?  Can't find my promo code at all?!","874016759416976_876048332547152","neutral",2017-08-21 13:55:29,2017-08-22 05:55:29,"2017-8-22",5,2,9,0,0,0,0,0
"96","Melvo Sek","1.02e+16","Server is down, I'm  not able to achieve today.","874016759416976_875981675887151","neutral",2017-08-21 11:21:38,2017-08-22 03:21:38,"2017-8-22",3,2,9,0,0,0,0,0
"97","Vincent Jong","1.02e+16","Grab Drivers mode crash ....!!!!","874016759416976_876004592551526","negative",2017-08-21 12:10:01,2017-08-22 04:10:01,"2017-8-22",4,2,5,-2,0,1,0,0
"98","LP Ho","1.02e+16","Cant apply promo code. Pls settle asap","874016759416976_876037619214890","neutral",2017-08-21 13:19:45,2017-08-22 05:19:45,"2017-8-22",5,2,7,0,0,0,0,0
"99","GH Chua","1.02e+16","Grabhitch down? Can't use.","874016759416976_876026929215959","neutral",2017-08-21 12:51:30,2017-08-22 04:51:30,"2017-8-22",4,2,4,0,0,0,0,0
"100","Leonard Lim","1.02e+16","No driver mode ??","874016759416976_876005492551436","negative",2017-08-21 12:11:58,2017-08-22 04:11:58,"2017-8-22",4,2,4,0,0,1,0,0
"101","Shermaine Karl","1.94e+15","Hitch is down.","874016759416976_876022492549736","neutral",2017-08-21 12:41:20,2017-08-22 04:41:20,"2017-8-22",4,2,3,0,0,0,0,0
"102","Chen Tianguo","1.02e+16","Form doesn't seem to work","874016759416976_876016899216962","neutral",2017-08-21 12:29:53,2017-08-22 04:29:53,"2017-8-22",4,2,5,0,0,0,0,0
"103","Alex Chue","1.02e+16","Cannot access both links regarding the Premier Football jersey rebate in the site. Error msg: ""You need permission. This form can only be viewed by users in the owner's organization. Try contacting the owner of the form if you think this is a mistake."" Can't read both the T&C or signup form for this.","874016759416976_876411739177478","neutral",2017-08-22 05:46:32,2017-08-22 21:46:32,"2017-8-22",21,2,54,-2,0,2,0,0
"104","Alenzo Gill","9.67e+14","0","874016759416976_876647052487280","neutral",2017-08-22 16:09:03,2017-08-23 08:09:03,"2017-8-23",8,3,0,0,0,0,0,0
"105","Shijie Tay","1.02e+16","hi grab! last night i opened my app and was welcomed with a message in regards to $4 off grabhitch! when i selected to opt in, it brought me to the grabhitch page, even though i didn't want to book a ride then and there. does that mean my optin status has been void?","874015872750398_874840529334599","neutral",2017-08-19 05:46:48,2017-08-19 21:46:48,"2017-8-19",21,6,54,1.5,0,0,2,0
"106","GH Chua","1.02e+16","Grabhitch promo can't be used? I was sent with a promo code valid for 1 week with 2 redemption per day. Now can't use?","874015872750398_876022252549760","neutral",2017-08-21 12:40:32,2017-08-22 04:40:32,"2017-8-22",4,2,24,0,0,0,0,0
"107","Chaw Kalyar Myint","1.02e+16","How about hitch riders ?  we would love to have Premier Football vouchers too  :) ","874015872750398_876837495801569","positive",2017-08-23 01:32:30,2017-08-23 17:32:30,"2017-8-23",17,3,17,3,0,0,1,0
"108","Peter Li","3.4e+14","Yr server having problem again I couldn't register on my app..","874015872750398_874487379369914","neutral",2017-08-18 11:08:14,2017-08-19 03:08:14,"2017-8-19",3,6,11,-2,0,1,0,0
"109","Sam Lim","1.02e+16","Benjamin Goh","874015872750398_875428412609144","neutral",2017-08-20 11:10:44,2017-08-21 03:10:44,"2017-8-21",3,1,2,0,0,0,0,0
